Maps,Name,Rating,Type,Description,Price per Night,Amenities 1,Amenities 2,Amenities 3,Amenities 4,Latitude,Longitude
https://www.google.com/maps/place/Best+Western+Senayan/data=!4m10!3m9!1s0x2e69f148a19c501d:0xf8df1390afdea625!5m2!4m1!1i2!8m2!3d-6.228065!4d106.798835!16s%2Fg%2F11r8cn2wl!19sChIJHVCcoUjxaS4RJaber5AT3_g?authuser=0&hl=en&rclk=1,Best Western Senayan,4.5,3-star hotel,Casual hotel with dining & free Wi-Fi,2811,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.228065,106.798835
https://www.google.com/maps/place/Mercure+Jakarta+Gatot+Subroto/data=!4m10!3m9!1s0x2e69f3c2da982b1b:0xae2c6b053bbf55c2!5m2!4m1!1i2!8m2!3d-6.239528!4d106.83042!16s%2Fg%2F11fjz2dbln!19sChIJGyuY2sLzaS4RwlW_OwVrLK4?authuser=0&hl=en&rclk=1,Mercure Jakarta Gatot Subroto,4.6,4-star hotel,Upmarket hotel with dining & a spa,4535,Pool,Free parking,Free Wi-Fi,Air-conditioned,-6.239528,106.83042
https://www.google.com/maps/place/Ashley+Wahid+Hasyim+Jakarta/data=!4m10!3m9!1s0x2e69f4257156f529:0xec28882d80d32e48!5m2!4m1!1i2!8m2!3d-6.187497!4d106.827085!16s%2Fg%2F11c2j36wlp!19sChIJKfVWcSX0aS4RSC7TgC2IKOw?authuser=0&hl=en&rclk=1,Ashley Wahid Hasyim Jakarta,4.5,4-star hotel,Chic lodging with a modern restaurant,3918,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.187497,106.827085
https://www.google.com/maps/place/HARRIS+Vertu+Hotel+Harmoni+Jakarta/data=!4m10!3m9!1s0x2e69f5d852f8965b:0xa2c3e2a867b3fc51!5m2!4m1!1i2!8m2!3d-6.1642866!4d106.8206514!16s%2Fg%2F11c2k3g958!19sChIJW5b4Utj1aS4RUfyzZ6jiw6I?authuser=0&hl=en&rclk=1,HARRIS Vertu Hotel Harmoni Jakarta,4.6,4-star hotel,Cosmopolitan lodging with a spa,4007,Pool,Spa,Free parking,Free Wi-Fi,-6.1642866,106.8206514
https://www.google.com/maps/place/Hotel+Rivoli+Jakarta/data=!4m10!3m9!1s0x2e69f448f8002a4b:0xb5e22a52e5e74180!5m2!4m1!1i2!8m2!3d-6.1839426!4d106.8442871!16s%2Fg%2F11c30s1vh_!19sChIJSyoA-Ej0aS4RgEHn5VIq4rU?authuser=0&hl=en&rclk=1,Hotel Rivoli Jakarta,4.2,3-star hotel,Straightforward hotel with dining,1785,Spa,Free parking,Free breakfast,Free Wi-Fi,-6.1839426,106.8442871
https://www.google.com/maps/place/Hotel+Borobudur+Jakarta/data=!4m10!3m9!1s0x2e69f5cc097e35db:0x7302b729335a095b!5m2!4m1!1i2!8m2!3d-6.1721573!4d106.8358278!16s%2Fg%2F121g1wcx!19sChIJ2zV-Ccz1aS4RWwlaMym3AnM?authuser=0&hl=en&rclk=1,Hotel Borobudur Jakarta,4.6,5-star hotel,Luxe hotel with 8 tennis courts & a pool,6594,Pool,Spa,Free parking,Free breakfast,-6.1721573,106.8358278
https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Jakarta+-+Diponegoro/data=!4m10!3m9!1s0x2e69f46ad4ba231d:0x2dbd0001fc1c5d26!5m2!4m1!1i2!8m2!3d-6.1991107!4d106.8430729!16s%2Fg%2F1ptzf2fp4!19sChIJHSO61Gr0aS4RJl0c_AEAvS0?authuser=0&hl=en&rclk=1,DoubleTree by Hilton Hotel Jakarta - Diponegoro,4.6,5-star hotel,Upscale lodging with a spa & a pool,7253,Pool,Spa,Free parking,Air-conditioned,-6.1991107,106.8430729
https://www.google.com/maps/place/Whiz+Hotel+Cikini+Jakarta/data=!4m10!3m9!1s0x2e69f43998550319:0xa93e41fcc02d05b3!5m2!4m1!1i2!8m2!3d-6.1883333!4d106.8366667!16s%2Fg%2F11bbyfd9x9!19sChIJGQNVmDn0aS4RswUtwPxBPqk?authuser=0&hl=en&rclk=1,Whiz Hotel Cikini Jakarta,4.1,2-star hotel,Chic hotel offering free Wi-Fi,1674,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.1883333,106.8366667
https://www.google.com/maps/place/AONE+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f42565fda0a9:0x9bf13123808ffd09!5m2!4m1!1i2!8m2!3d-6.186832!4d106.8280343!16s%2Fg%2F11cnc0tnd5!19sChIJqaD9ZSX0aS4RCf2PgCMx8Zs?authuser=0&hl=en&rclk=1,AONE Hotel Jakarta,4.3,4-star hotel,Upscale lodging with dining & a pool,3646,Pool,Free parking,Free Wi-Fi,Breakfast,-6.186832,106.8280343
https://www.google.com/maps/place/Dreamtel+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f43ab89c21e5:0x4f43e37ad75aa08e!5m2!4m1!1i2!8m2!3d-6.1876452!4d106.8307077!16s%2Fg%2F1q6b0x4hv!19sChIJ5SGcuDr0aS4RjqBa13rjQ08?authuser=0&hl=en&rclk=1,Dreamtel Hotel Jakarta,4.1,3-star hotel,Relaxed hotel with breakfast,2014,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast,-6.1876452,106.8307077
https://www.google.com/maps/place/Cikini+Hotel/data=!4m10!3m9!1s0x2e69f43f26c736a3:0x39464443446aff87!5m2!4m1!1i2!8m2!3d-6.1923689!4d106.8390058!16s%2Fg%2F11cly8bft7!19sChIJozbHJj_0aS4Rh_9qRENERjk?authuser=0&hl=en&rclk=1,Cikini Hotel,4.3,2-star hotel,Modern hotel with a lobby lounge,1584,Free parking,Free Wi-Fi,Air-conditioned,Wi-Fi,-6.1923689,106.8390058
https://www.google.com/maps/place/Hotel+Indonesia+Kempinski+Jakarta/data=!4m10!3m9!1s0x2e69f421963cd607:0x503cb9e9306e657a!5m2!4m1!1i2!8m2!3d-6.1956129!4d106.8223572!16s%2Fm%2F02qr_3v!19sChIJB9Y8liH0aS4RemVuMOm5PFA?authuser=0&hl=en&rclk=1,Hotel Indonesia Kempinski Jakarta,4.7,5-star hotel,Upscale lodging with a rooftop pool,15700,Pool,Spa,Free parking,Free Wi-Fi,-6.1956129,106.8223572
https://www.google.com/maps/place/The+Jayakarta+SP+Jakarta+Hotel+%26+Spa/data=!4m10!3m9!1s0x2e69f60a761d619f:0x77c8f48dfa9eb879!5m2!4m1!1i2!8m2!3d-6.1473892!4d106.8172265!16s%2Fg%2F1tf2hvxl!19sChIJn2Eddgr2aS4Rebie-o30yHc?authuser=0&hl=en&rclk=1,The Jayakarta SP Jakarta Hotel & Spa,4.2,4-star hotel,Upscale lodging with dining & a pool,1829,Pool,Spa,Free parking,Free Wi-Fi,-6.1473892,106.8172265
https://www.google.com/maps/place/Harris+Hotel+Tebet+-+Jakarta/data=!4m10!3m9!1s0x2e698daabd8de8b5:0x2e9f64b149881949!5m2!4m1!1i2!8m2!3d-6.2230159!4d106.8479561!16s%2Fg%2F1v2bnctb!19sChIJteiNvaqNaS4RSRmISbFkny4?authuser=0&hl=en&rclk=1,Harris Hotel Tebet - Jakarta,4.4,4-star hotel,Casual hotel with a restaurant & a pool,3536,Pool,Spa,Free Wi-Fi,Air-conditioned,-6.2230159,106.8479561
https://www.google.com/maps/place/Smart+Hotel+Thamrin+Jakarta/data=!4m10!3m9!1s0x2e69f41ec33c5351:0xef646dfa8bbbcbd5!5m2!4m1!1i2!8m2!3d-6.2000223!4d106.8225273!16s%2Fg%2F1td8dx2k!19sChIJUVM8wx70aS4R1cu7i_ptZO8?authuser=0&hl=en&rclk=1,Smart Hotel Thamrin Jakarta,3.2,2-star hotel,Modern rooms & suites plus 2 restaurants,982,Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi,-6.2000223,106.8225273
https://www.google.com/maps/place/Aloft+Jakarta+Wahid+Hasyim/data=!4m10!3m9!1s0x2e69f4257cfc78e5:0xd53b56810352dc25!5m2!4m1!1i2!8m2!3d-6.1868447!4d106.8271692!16s%2Fg%2F11bccgv_z_!19sChIJ5Xj8fCX0aS4RJdxSA4FWO9U?authuser=0&hl=en&rclk=1,Aloft Jakarta Wahid Hasyim,4.5,4-star hotel,Modern hotel with a pool & dining,4616,Pool,Free parking,Free Wi-Fi,Air-conditioned,-6.1868447,106.8271692
https://www.google.com/maps/place/ARTOTEL+Thamrin+-+Jakarta/data=!4m10!3m9!1s0x2e69f425cc5f2945:0x7bb495c84a711172!5m2!4m1!1i2!8m2!3d-6.1889087!4d106.8247687!16s%2Fg%2F1yfj7hd41!19sChIJRSlfzCX0aS4RchFxSsiVtHs?authuser=0&hl=en&rclk=1,ARTOTEL Thamrin - Jakarta,4.5,3-star hotel,Funky property with a rooftop bar,3188,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.1889087,106.8247687
https://www.google.com/maps/place/Hotel+Marcopolo+Jakarta/data=!4m10!3m9!1s0x2e40d070a11a19b1:0x54199766639ae75f!5m2!4m1!1i2!8m2!3d-6.1954417!4d106.8370583!16s%2Fg%2F11b6dpfk3z!19sChIJsRkaoXDQQC4RX-eaY2aXGVQ?authuser=0&hl=en&rclk=1,Hotel Marcopolo Jakarta,4.3,3-star hotel,Low-key lodging with a pool & dining,1988,Pool,Free parking,Free breakfast,Free Wi-Fi,-6.1954417,106.8370583
https://www.google.com/maps/place/Liberty+Hotel+Thamrin+Jakarta/data=!4m10!3m9!1s0x2e69f41ee80bd6b7:0x1c27f6d40a2a9af1!5m2!4m1!1i2!8m2!3d-6.199976!4d106.8222528!16s%2Fg%2F11clyt0tm6!19sChIJt9YL6B70aS4R8ZoqCtT2Jxw?authuser=0&hl=en&rclk=1,Liberty Hotel Thamrin Jakarta,4.5,3-star hotel,Informal lodging with a cafe/bar,2800,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.199976,106.8222528
https://www.google.com/maps/place/The+Sultan+Hotel+%26+Residence+Jakarta/data=!4m10!3m9!1s0x2e69f2baed20d2f5:0x42bee1db200b445!5m2!4m1!1i2!8m2!3d-6.2182171!4d106.8090581!16s%2Fg%2F1w02h12t!19sChIJ9dIg7bryaS4RRbQAsh3uKwQ?authuser=0&hl=en&rclk=1,The Sultan Hotel & Residence Jakarta,4.6,5-star hotel,"Luxe hotel with dining, tennis & a spa",6320,Pool,Spa,Free parking,Free Wi-Fi,-6.2182171,106.8090581
https://www.google.com/maps/place/Manhattan+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f3f05cf869c5:0x54fd31f2806946cb!5m2!4m1!1i2!8m2!3d-6.2252344!4d106.8313176!16s%2Fg%2F1tj5hl1s!19sChIJxWn4XPDzaS4Ry0ZpgPIx_VQ?authuser=0&hl=en&rclk=1,Manhattan Hotel Jakarta,4.4,5-star hotel,Modern lodging with dining & a pool,5103,Pool,Spa,Free parking,Free Wi-Fi,-6.2252344,106.8313176
https://www.google.com/maps/place/JW+Marriott+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f3ee55619e4b:0x2b9c945ee90aa460!5m2!4m1!1i2!8m2!3d-6.227611!4d106.827147!16s%2Fg%2F1tlr213x!19sChIJS55hVe7zaS4RYKQK6V6UnCs?authuser=0&hl=en&rclk=1,JW Marriott Hotel Jakarta,4.6,5-star hotel,High-end lodging with a spa & dining,16000,Pool,Spa,Free parking,Free Wi-Fi,-6.227611,106.827147
https://www.google.com/maps/place/Century+Park/data=!4m10!3m9!1s0x2e69f14e81b23ac3:0x4f4a14a3933939f5!5m2!4m1!1i2!8m2!3d-6.223203!4d106.802885!16s%2Fg%2F1yhbl7c9l!19sChIJwzqygU7xaS4R9Tk5k6MUSk8?authuser=0&hl=en&rclk=1,Century Park,4.5,4-star hotel,Modern property offering dining & a pool,5193,Pool,Spa,Free parking,Free Wi-Fi,-6.223203,106.802885
https://www.google.com/maps/place/Kaisar+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f3b5f6fccd8f:0x2cae9ba850f93090!5m2!4m1!1i2!8m2!3d-6.2529228!4d106.8416363!16s%2Fg%2F1tfdhp2m!19sChIJj8389rXzaS4RkDD5UKibriw?authuser=0&hl=en&rclk=1,Kaisar Hotel Jakarta,4.1,3-star hotel,Relaxed hotel with a nightclub & dining,1911,Spa,Free parking,Free Wi-Fi,Air-conditioned,-6.2529228,106.8416363
https://www.google.com/maps/place/Sentral+Cawang+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f3058dbc0291:0x8b02de3f61ad2844!5m2!4m1!1i2!8m2!3d-6.2469782!4d106.8727876!16s%2Fg%2F1q6cngjyx!19sChIJkQK8jQXzaS4RRCitYT_eAos?authuser=0&hl=en&rclk=1,Sentral Cawang Hotel Jakarta,4.4,3-star hotel,Contemporary hotel with dining & a pool,1754,Pool,Spa,Free parking,Free breakfast,-6.2469782,106.8727876
https://www.google.com/maps/place/Best+Western+Premier+The+Hive/data=!4m10!3m9!1s0x2e69f372abbbecbb:0xc31b5906192a7a54!5m2!4m1!1i2!8m2!3d-6.2446058!4d106.8754714!16s%2Fg%2F1q6j6fswf!19sChIJu-y7q3LzaS4RVHoqGQZZG8M?authuser=0&hl=en&rclk=1,Best Western Premier The Hive,4.4,4-star hotel,Modern lodging with a pool & dining,3074,Pool,Spa,Free parking,Free Wi-Fi,-6.2446058,106.8754714
https://www.google.com/maps/place/Stanley+Wahid+Hasyim+Jakarta/data=!4m10!3m9!1s0x2e69f4256e09cea5:0x3987f534aaf452ad!5m2!4m1!1i2!8m2!3d-6.1876087!4d106.8276552!16s%2Fg%2F11jqp1nwsf!19sChIJpc4JbiX0aS4RrVL0qjT1hzk?authuser=0&hl=en&rclk=1,Stanley Wahid Hasyim Jakarta,4.6,Hotel,Casual hotel with a cafe & Wi-Fi,3645,Free parking,Free breakfast,Free Wi-Fi,Breakfast,-6.1876087,106.8276552
https://www.google.com/maps/place/Shangri-La+Jakarta/data=!4m10!3m9!1s0x2e69f41defc50881:0x8220ffb74a693deb!5m2!4m1!1i2!8m2!3d-6.2026344!4d106.8185807!16s%2Fg%2F1ptwsgx_l!19sChIJgQjF7x30aS4R6z1pSrf_III?authuser=0&hl=en&rclk=1,Shangri-La Jakarta,4.7,5-star hotel,Posh property with dining & a spa,13400,Pool,Spa,Free Wi-Fi,Air-conditioned,-6.2026344,106.8185807
https://www.google.com/maps/place/Akmani+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f42577c7e01d:0x7bbd27b0fc62779e!5m2!4m1!1i2!8m2!3d-6.1874427!4d106.8256477!16s%2Fg%2F1typrc5h!19sChIJHeDHdyX0aS4Rnndi_LAnvXs?authuser=0&hl=en&rclk=1,Akmani Hotel Jakarta,4.2,4-star hotel,Stylish business hotel with a spa,3235,Pool,Spa,Free parking,Free Wi-Fi,-6.1874427,106.8256477
https://www.google.com/maps/place/Eightin+Hotel+Sudirman+Jakarta/data=!4m10!3m9!1s0x2e69f7a083b471f3:0xee872e79581b1561!5m2!4m1!1i2!8m2!3d-6.2152225!4d106.8129765!16s%2Fg%2F11f5h85_ht!19sChIJ83G0g6D3aS4RYRUbWHkuh-4?authuser=0&hl=en&rclk=1,Eightin Hotel Sudirman Jakarta,4.4,Hotel,Casual hotel with free breakfast,2812,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.2152225,106.8129765
https://www.google.com/maps/place/Erian+Hotel/data=!4m10!3m9!1s0x2e69f4254fad1623:0xb6584309bdd5b2c!5m2!4m1!1i2!8m2!3d-6.1874692!4d106.8291817!16s%2Fg%2F11dzqg9676!19sChIJIxatTyX0aS4RLFvdmzCEZQs?authuser=0&hl=en&rclk=1,Erian Hotel,4.6,3-star hotel,Relaxed lodging with a restaurant,2842,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.1874692,106.8291817
https://www.google.com/maps/place/Novotel+Jakarta+Cikini/data=!4m10!3m9!1s0x2e69f5d3d035327b:0xf5a201a56ffc3cc0!5m2!4m1!1i2!8m2!3d-6.1955362!4d106.8404181!16s%2Fg%2F11gmzft5vp!19sChIJezI10NP1aS4RwDz8b6UBovU?authuser=0&hl=en&rclk=1,Novotel Jakarta Cikini,4.7,4-star hotel,Modern hotel with dining & a pool,4838,Pool,Spa,Free parking,Free Wi-Fi,-6.1955362,106.8404181
https://www.google.com/maps/place/Jambuluwuk+Thamrin+Hotel/data=!4m10!3m9!1s0x2e69f52b308d267f:0xc04aa69338da8781!5m2!4m1!1i2!8m2!3d-6.1910093!4d106.824431!16s%2Fg%2F11hzdy03sf!19sChIJfyaNMCv1aS4RgYfaOJOmSsA?authuser=0&hl=en&rclk=1,Jambuluwuk Thamrin Hotel,4.5,4-star hotel,"Polished hotel with a pool, gym & dining",3640,Pool,Free parking,Free Wi-Fi,Air-conditioned,-6.1910093,106.824431
https://www.google.com/maps/place/Mercure+Jakarta+Gatot+Subroto/data=!4m10!3m9!1s0x2e69f3bce7a4bdf1:0xae2c6b053bbf55c2!5m2!4m1!1i2!8m2!3d-6.2395284!4d106.8304204!16s%2Fg%2F11fjz2dbln!19sChIJ8b2k57zzaS4RwlW_OwVrLK4?authuser=0&hl=en&rclk=1,Mercure Jakarta Gatot Subroto,4.6,4-star hotel,Upmarket hotel with dining & a spa,4535,Pool,Free parking,Free Wi-Fi,Air-conditioned,-6.2395284,106.8304204
https://www.google.com/maps/place/ibis+Jakarta+Arcadia/data=!4m10!3m9!1s0x2e69fa9d5f6b0e51:0xc765e14e1514b2ee!5m2!4m1!1i2!8m2!3d-6.1867057!4d106.8260528!16s%2Fg%2F1tl5_svv!19sChIJUQ5rX536aS4R7rIUFU7hZcc?authuser=0&hl=en&rclk=1,ibis Jakarta Arcadia,4.2,3-star hotel,Informal hotel with dining & free Wi-Fi,3021,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.1867057,106.8260528
https://www.google.com/maps/place/Century+Park/data=!4m10!3m9!1s0x2e69f14c2be203fd:0x4f4a14a3933939f5!5m2!4m1!1i2!8m2!3d-6.2232033!4d106.8028848!16s%2Fg%2F1yhbl7c9l!19sChIJ_QPiK0zxaS4R9Tk5k6MUSk8?authuser=0&hl=en&rclk=1,Century Park,4.5,4-star hotel,Modern property offering dining & a pool,5193,Pool,Spa,Free parking,Free Wi-Fi,-6.2232033,106.8028848
https://www.google.com/maps/place/Puri+Jaya+Hotel/data=!4m10!3m9!1s0x2e69f45c09ee6f8b:0x1fcef28f4ec27d83!5m2!4m1!1i2!8m2!3d-6.1919444!4d106.8588889!16s%2Fg%2F1tgwk308!19sChIJi2_uCVz0aS4Rg33CTo_yzh8?authuser=0&hl=en&rclk=1,Puri Jaya Hotel,4,3-star hotel,Unpretentious hotel with a restaurant,1458,Free parking,Free Wi-Fi,Air-conditioned,Wi-Fi,-6.1919444,106.8588889
https://www.google.com/maps/place/Hotel+Ciputra+Jakarta+%28Managed+by+Swiss-Belhotel+International%29/data=!4m10!3m9!1s0x2e69f60404a5e893:0x6f9b862724e130c4!5m2!4m1!1i2!8m2!3d-6.1678833!4d106.7867518!16s%2Fg%2F1tlr2zgx!19sChIJk-ilBAT2aS4RxDDhJCeGm28?authuser=0&hl=en&rclk=1,Hotel Ciputra Jakarta (Managed by Swiss-Belhotel International),4.7,4-star hotel,Stylish hotel with a rooftop pool,3606,Pool,Spa,Free parking,Free Wi-Fi,-6.1678833,106.7867518
